название,тип
австрийская кухня,KITCHEN
азербайджанская кухня,KITCHEN
армянская кухня,KITCHEN
белорусская кухня,KITCHEN
бельгийская кухня,KITCHEN
британская кухня,KITCHEN
валлийская кухня,KITCHEN
германская кухня,KITCHEN
голландская кухня,KITCHEN
грузинская кухня,KITCHEN
датская кухня,KITCHEN
индийская кухня,KITCHEN
ирландская кухня,KITCHEN
испанская кухня,KITCHEN
итальянская кухня,KITCHEN
казахская кухня,KITCHEN
китайская кухня,KITCHEN
польская кухня,KITCHEN
португальская кухня,KITCHEN
словацкая кухня,KITCHEN
таджикская кухня,KITCHEN
турецкая кухня,KITCHEN
узбекская кухня,KITCHEN
украинская кухня,KITCHEN
французская кухня,KITCHEN
чешская кухня,KITCHEN
шведская кухня,KITCHEN
швейцарская кухня,KITCHEN
шотландская кухня,KITCHEN
японская кухня,KITCHEN
Бургеры,MENU
Вегетарианские блюда,MENU
Выпечка,MENU
Гарниры,MENU
Десерты,MENU
Завтрак,MENU
Закуски,MENU
Морепродукты,MENU
Мясные блюда,MENU
Национальная кухня,MENU
Обед,MENU
Паста,MENU
Пицца,MENU
Птица,MENU
Рисовые блюда,MENU
Рыбные блюда,MENU
Салаты,MENU
Супы,MENU
Ужин,MENU
Фастфуд,MENU
